Date,Delivery Zone,Home Type,Price,Tip,Cash Tip,Distance (miles),Total Earnings,Tip Percentage,Earnings per Mile
28-Dec,SW5,House,41.51,9.3,No,3.1,50.81,22.4,16.39
28-Dec,SW5,House,110.81,16.5,No,2.9,127.31,14.89,43.9
28-Dec,NW10,Apt,80.02,20.0,Yes,4.8,100.02,24.99,20.84
28-Dec,SW5,House,46.88,5.0,No,1.8,51.88,10.67,28.82
28-Dec,W4,Apt,45.0,3.0,Yes,0.4,48.0,6.67,120.0
28-Dec,SE6,Townhouse,15.0,2.0,No,4.0,17.0,13.33,4.25
28-Dec,SE11,House,53.0,5.0,Yes,5.2,58.0,9.43,11.15
28-Dec,SE9,House,120.18,14.1,No,5.7,134.28,11.73,23.56
29-Dec,W4,Apt,67.1,9.7,No,1.5,76.8,14.46,51.2
29-Dec,W4,House,30.0,5.0,Yes,1.0,35.0,16.67,35.0
29-Dec,NW9,House,53.45,8.5,No,2.6,61.95,15.9,23.83
29-Dec,NW10,House,63.28,3.72,No,4.9,67.0,5.88,13.67
29-Dec,SE6,House,20.4,1.0,No,4.8,21.4,4.9,4.46
29-Dec,W7,Apt,33.08,4.05,No,3.0,37.13,12.24,12.38
29-Dec,E4,Apt ,30.0,2.0,Yes,1.0,32.0,6.67,32.0
29-Dec,E4,Townhouse,39.66,4.2,No,0.8,43.86,10.59,54.82
29-Dec,E4,Apt ,25.99,5.0,No,1.0,30.99,19.24,30.99
29-Dec,W4,Apt ,18.32,0.0,No,1.2,18.32,0.0,15.27
29-Dec,NW9,House,104.0,12.0,Yes,2.6,116.0,11.54,44.62
29-Dec,NW9,House,50.0,8.0,No,2.9,58.0,16.0,20.0
30-Dec,E4,House,38.65,8.8,No,1.9,47.45,22.77,24.97
30-Dec,SW5,House,22.6,3.4,No,1.5,26.0,15.04,17.33
30-Dec,SW5,House,23.18,2.7,No,3.3,25.88,11.65,7.84
30-Dec,NW9,House,39.19,5.33,No,2.9,44.52,13.6,15.35
30-Dec,NW10,House ,26.55,5.0,No,4.0,31.55,18.83,7.89
30-Dec,NW10,Hotel,132.99,15.67,No,7.2,148.66,11.78,20.65
30-Dec,SE6,House,19.0,4.0,No,3.7,23.0,21.05,6.22
30-Dec,SE11,House,27.46,2.7,No,6.0,30.16,9.83,5.03
30-Dec,W4,Apt ,29.94,2.0,Yes,1.0,31.94,6.68,31.94
30-Dec,SE9,House,50.84,11.0,Yes,4.8,61.84,21.64,12.88
30-Dec,NW9,House,73.64,5.0,No,2.7,78.64,6.79,29.13
30-Dec,NW9,House,55.74,9.0,No,2.6,64.74,16.15,24.9
31-Dec,SE6,House,58.47,7.42,No,4.0,65.89,12.69,16.47
31-Dec,NW9,House,16.35,3.23,No,3.5,19.58,19.76,5.59
31-Dec,W7,House,66.3,18.0,No,4.5,84.3,27.15,18.73
